	name	clade	strain
810	EPI-ISL-16714598_England_2021	B.D.3.2.1	EPI-ISL-16714598
811	MT373705_Russia_2019	B.D.3.2.1	MT373705
812	EPI-ISL-12970406_Philippines_2019	B.D.3.2.1	EPI-ISL-12970406
813	MZ515656_Spain_2019	B.D.3.2.1	MZ515656
814	EPI-ISL-12970402_Philippines_2019	B.D.3.2.1	EPI-ISL-12970402
815	EPI-ISL-12970410_Philippines_2019	B.D.3.2.1	EPI-ISL-12970410
816	MZ516065_United-Kingdom_2018	B.D.3.2.1	MZ516065
817	EPI-ISL-11055803_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055803
818	EPI-ISL-12529660_South-Africa_2021	B.D.3.2.1	EPI-ISL-12529660
819	EPI-ISL-12529659_South-Africa_2021	B.D.3.2.1	EPI-ISL-12529659
820	EPI-ISL-11055804_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055804
821	EPI-ISL-11055793_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055793
822	EPI-ISL-11055787_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055787
823	EPI-ISL-11055770_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055770
824	MZ515636_United-Kingdom_2019	B.D.3.2.1	MZ515636
825	MZ515903_United-Kingdom_2019	B.D.3.2.1	MZ515903
826	MZ515820_United-Kingdom_2018	B.D.3.2.1	MZ515820
827	MZ515812_United-Kingdom_2018	B.D.3.2.1	MZ515812
828	MZ515658_Netherlands_2018	B.D.3.2.1	MZ515658
829	MZ515845_Netherlands_2018	B.D.3.2.1	MZ515845
830	MZ515944_Netherlands_2018	B.D.3.2.1	MZ515944
831	MZ515883_Netherlands_2018	B.D.3.2.1	MZ515883
832	MZ515762_United-Kingdom_2018	B.D.3.2.1	MZ515762
833	MZ516051_United-Kingdom_2018	B.D.3.2.1	MZ516051
834	MT107528_Switzerland_2019	B.D.3.2.1	MT107528
835	EPI-ISL-15895059_Brazil_2021	B.D.3.2.1	EPI-ISL-15895059
836	MZ515974_Netherlands_2018	B.D.3.2.1	MZ515974
837	MZ515972_Spain_2020	B.D.3.2.1	MZ515972
838	MZ516140_Spain_2019	B.D.3.2.1	MZ516140
839	MZ516143_Spain_2019	B.D.3.2.1	MZ516143
840	MZ515827_Spain_2019	B.D.3.2.1	MZ515827
841	MZ515872_Spain_2020	B.D.3.2.1	MZ515872
842	MZ515715_Spain_2020	B.D.3.2.1	MZ515715
843	MZ515863_Spain_2019	B.D.3.2.1	MZ515863
844	EPI-ISL-6314466_China_2021	B.D.3.2.1	EPI-ISL-6314466
845	MZ515560_Netherlands_2019	B.D.3.2.1	MZ515560
846	MZ515699_Netherlands_2020	B.D.3.2.1	MZ515699
847	OM857375_Australia_2020	B.D.3.2.1	OM857375
848	MZ151849_Russia_2019	B.D.3.2.1	MZ151849
849	MZ151851_Russia_2019	B.D.3.2.1	MZ151851
850	OM857373_Australia_2019	B.D.3.2.1	OM857373
851	MZ515607_United-Kingdom_2019	B.D.3.2.1	MZ515607
852	MZ515791_United-Kingdom_2019	B.D.3.2.1	MZ515791
853	OQ331215_USA_2020	B.D.3.2.1	OQ331215
854	OQ331216_USA_2019	B.D.3.2.1	OQ331216
855	MZ516049_United-Kingdom_2020	B.D.3.2.1	MZ516049
856	EPI-ISL-16714298_England_2021	B.D.3.2.1.3	EPI-ISL-16714298
857	EPI-ISL-16737035_England_2021	B.D.3.2.1.3	EPI-ISL-16737035
858	EPI-ISL-16714385_England_2021	B.D.3.2.1.3	EPI-ISL-16714385
859	EPI-ISL-16714683_England_2021	B.D.3.2.1.3	EPI-ISL-16714683
860	EPI-ISL-16714353_England_2021	B.D.3.2.1.3	EPI-ISL-16714353
861	EPI-ISL-16714358_England_2021	B.D.3.2.1.3	EPI-ISL-16714358
862	EPI-ISL-16533866_Austria_2022	B.D.3.2.1.3	EPI-ISL-16533866
863	EPI-ISL-16714672_England_2021	B.D.3.2.1.3	EPI-ISL-16714672
864	EPI-ISL-16714384_England_2021	B.D.3.2.1.3	EPI-ISL-16714384
865	EPI-ISL-16714615_England_2021	B.D.3.2.1.3	EPI-ISL-16714615
866	EPI-ISL-16714637_England_2021	B.D.3.2.1.3	EPI-ISL-16714637
867	EPI-ISL-16714627_England_2021	B.D.3.2.1.3	EPI-ISL-16714627
868	EPI-ISL-16714679_England_2021	B.D.3.2.1.3	EPI-ISL-16714679
869	EPI-ISL-16714422_England_2021	B.D.3.2.1.3	EPI-ISL-16714422
870	EPI-ISL-6268606_China_2020	B.D.3.2.1	EPI-ISL-6268606
871	EPI-ISL-6268618_China_2020	B.D.3.2.1	EPI-ISL-6268618
872	EPI-ISL-6268437_China_2020	B.D.3.2.1	EPI-ISL-6268437
873	OM857393_Australia_2020	B.D.3.2.1	OM857393
874	EPI-ISL-6268595_China_2020	B.D.3.2.1	EPI-ISL-6268595
875	EPI-ISL-6268627_China_2021	B.D.3.2.1	EPI-ISL-6268627
876	EPI-ISL-6268596_China_2020	B.D.3.2.1	EPI-ISL-6268596
877	EPI-ISL-6268598_China_2020	B.D.3.2.1	EPI-ISL-6268598
878	EPI-ISL-12544917_Vietnam_2018	B.D.3.2.1	EPI-ISL-12544917
879	EPI-ISL-15055348_Argentina_2018	B.D.3.2.1	EPI-ISL-15055348
880	MZ515590_United-Kingdom_2019	B.D.3.2.1	MZ515590
881	EPI-ISL-15896231_Australia_2022	B.D.3.2.1	EPI-ISL-15896231
882	EPI-ISL-6268594_China_2020	B.D.3.2.1	EPI-ISL-6268594
883	EPI-ISL-12970404_Philippines_2019	B.D.3.2.1	EPI-ISL-12970404
884	EPI-ISL-12970424_Philippines_2019	B.D.3.2.1	EPI-ISL-12970424
885	EPI-ISL-6314658_China_2021	B.D.3.2.1	EPI-ISL-6314658
886	EPI-ISL-6314662_China_2021	B.D.3.2.1	EPI-ISL-6314662
887	MZ515553_United-Kingdom_2019	B.D.3.2.1	MZ515553
888	EPI-ISL-6268611_China_2020	B.D.3.2.1	EPI-ISL-6268611
889	EPI-ISL-6268617_China_2020	B.D.3.2.1.2	EPI-ISL-6268617
890	EPI-ISL-6268621_China_2021	B.D.3.2.1.2	EPI-ISL-6268621
891	EPI-ISL-6268622_China_2021	B.D.3.2.1.2	EPI-ISL-6268622
892	EPI-ISL-6268599_China_2020	B.D.3.2.1.2	EPI-ISL-6268599
893	EPI-ISL-6314585_China_2021	B.D.3.2.1.2	EPI-ISL-6314585
894	EPI-ISL-6268607_China_2020	B.D.3.2.1.2	EPI-ISL-6268607
895	OM857390_Australia_2020	B.D.3.2.1.2	OM857390
896	EPI-ISL-17066822_Australia_2022	B.D.3.2.1.2	EPI-ISL-17066822
897	MZ516102_United-Kingdom_2019	B.D.3.2.1.2	MZ516102
898	MZ515558_Netherlands_2018	B.D.3.2.1.2	MZ515558
899	MZ516135_Netherlands_2018	B.D.3.2.1.2	MZ516135
900	EPI-ISL-6268455_China_2020	B.D.3.2.1.2	EPI-ISL-6268455
901	MZ515938_Spain_2019	B.D.3.2.1.2	MZ515938
902	EPI-ISL-6268456_China_2020	B.D.3.2.1.2	EPI-ISL-6268456
903	EPI-ISL-6314661_China_2021	B.D.3.2.1.2	EPI-ISL-6314661
904	EPI-ISL-6268625_China_2021	B.D.3.2.1.2	EPI-ISL-6268625
905	EPI-ISL-16714666_England_2021	B.D.3.2.1.2	EPI-ISL-16714666
906	MZ515997_Netherlands_2018	B.D.3.2.1.2	MZ515997
907	EPI-ISL-6314463_China_2021	B.D.3.2.1.2	EPI-ISL-6314463
908	OM857380_Australia_2020	B.D.3.2.1.2	OM857380
909	EPI-ISL-6268626_China_2021	B.D.3.2.1	EPI-ISL-6268626
910	EPI-ISL-15055350_Argentina_2019	B.D.3.2.1	EPI-ISL-15055350
911	MZ515830_United-Kingdom_2019	B.D.3.2.1	MZ515830
912	MZ515975_Netherlands_2019	B.D.3.2.1	MZ515975
913	OM857381_Australia_2020	B.D.3.2.1	OM857381
914	EPI-ISL-6268612_China_2020	B.D.3.2.1	EPI-ISL-6268612
915	EPI-ISL-16289246_Vietnam_2020	B.D.3.2.1	EPI-ISL-16289246
916	EPI-ISL-16714578_England_2022	B.D.3.2.1	EPI-ISL-16714578
917	EPI-ISL-16714389_England_2021	B.D.3.2.1	EPI-ISL-16714389
918	EPI-ISL-11055765_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055765
919	MZ515837_United-Kingdom_2019	B.D.3.2.1	MZ515837
920	EPI-ISL-17066778_Australia_2022	B.D.3.2.1	EPI-ISL-17066778
921	MZ516054_Spain_2019	B.D.3.2.1	MZ516054
922	EPI-ISL-15067696_Argentina_2018	B.D.3.2.1	EPI-ISL-15067696
923	EPI-ISL-15067709_Argentina_2018	B.D.3.2.1	EPI-ISL-15067709
924	MZ515732_United-Kingdom_2019	B.D.3.2.1	MZ515732
925	MZ515871_United-Kingdom_2019	B.D.3.2.1	MZ515871
926	MZ516098_United-Kingdom_2018	B.D.3.2.1	MZ516098
927	MZ515799_Netherlands_2019	B.D.3.2.1	MZ515799
928	MZ515990_Netherlands_2019	B.D.3.2.1	MZ515990
929	MZ515771_Spain_2018	B.D.3.2.1	MZ515771
930	MW020595_Australia_2018	B.D.3.2.1	MW020595
931	EPI-ISL-11055794_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055794
932	EPI-ISL-11055802_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055802
933	EPI-ISL-11055766_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055766
934	EPI-ISL-12529656_South-Africa_2021	B.D.3.2.1	EPI-ISL-12529656
935	EPI-ISL-11055792_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055792
936	EPI-ISL-15895095_Brazil_2022	B.D.3.2.1	EPI-ISL-15895095
937	OQ331218_USA_2019	B.D.3.2.1	OQ331218
938	OM857369_Australia_2019	B.D.3.2.1	OM857369
939	EPI-ISL-15120788_Morocco_2019	B.D.3.2.1	EPI-ISL-15120788
940	MZ515824_United-Kingdom_2018	B.D.3.2.1	MZ515824
941	MZ516030_Spain_2019	B.D.3.2.1	MZ516030
942	MZ516122_Spain_2019	B.D.3.2.1	MZ516122
943	EPI-ISL-15067700_Argentina_2018	B.D.3.2.1	EPI-ISL-15067700
944	EPI-ISL-15067708_Argentina_2018	B.D.3.2.1	EPI-ISL-15067708
945	EPI-ISL-15067701_Argentina_2018	B.D.3.2.1	EPI-ISL-15067701
946	EPI-ISL-15067710_Argentina_2018	B.D.3.2.1	EPI-ISL-15067710
947	EPI-ISL-15067695_Argentina_2018	B.D.3.2.1	EPI-ISL-15067695
948	EPI-ISL-15067704_Argentina_2018	B.D.3.2.1	EPI-ISL-15067704
949	OP975389_Australia_2019	B.D.3.2.1	OP975389
950	EPI-ISL-17177049_Bosnia-and-Herzegovina_2022	B.D.3.2.1	EPI-ISL-17177049
951	OQ261743_Austria_2022	B.D.3.2.1	OQ261743
952	EPI-ISL-16714646_England_2021	B.D.3.2.1	EPI-ISL-16714646
953	OM857370_Australia_2020	B.D.3.2.1	OM857370
954	MZ515823_United-Kingdom_2019	B.D.3.2.1	MZ515823
955	EPI-ISL-12970400_Philippines_2019	B.D.3.2.1	EPI-ISL-12970400
956	EPI-ISL-15895128_Brazil_2019	B.D.3.2.1	EPI-ISL-15895128
957	LR699744_Spain_2017	B.D.3.2.1	LR699744
958	MT373704_Russia_2019	B.D.3.2.1	MT373704
959	MZ515748_Spain_2019	B.D.3.2.1	MZ515748
960	MZ516114_Spain_2019	B.D.3.2.1	MZ516114
961	EPI-ISL-10914987_Australia_2018	B.D.3.2.1	EPI-ISL-10914987
962	MZ515660_Netherlands_2018	B.D.3.2.1	MZ515660
963	MZ516059_Netherlands_2019	B.D.3.2.1	MZ516059
964	MZ515786_United-Kingdom_2019	B.D.3.2.1	MZ515786
965	MZ515904_United-Kingdom_2020	B.D.3.2.1	MZ515904
966	MZ515895_United-Kingdom_2019	B.D.3.2.1	MZ515895
967	MZ515712_United-Kingdom_2019	B.D.3.2.1	MZ515712
968	MZ516139_United-Kingdom_2019	B.D.3.2.1	MZ516139
969	MZ515677_United-Kingdom_2019	B.D.3.2.1	MZ515677
970	MZ516123_United-Kingdom_2019	B.D.3.2.1	MZ516123
971	OM857371_Australia_2019	B.D.3.2.1	OM857371
972	OM857372_Australia_2020	B.D.3.2.1	OM857372
973	EPI-ISL-11817047_Australia_2021	B.D.3.2.1	EPI-ISL-11817047
974	EPI-ISL-11817048_Australia_2021	B.D.3.2.1	EPI-ISL-11817048
975	EPI-ISL-11817060_Australia_2021	B.D.3.2.1	EPI-ISL-11817060
976	EPI-ISL-11817018_Australia_2021	B.D.3.2.1	EPI-ISL-11817018
977	EPI-ISL-11817022_Australia_2021	B.D.3.2.1	EPI-ISL-11817022
978	EPI-ISL-15774040_Australia_2021	B.D.3.2.1	EPI-ISL-15774040
979	EPI-ISL-15774051_Australia_2021	B.D.3.2.1	EPI-ISL-15774051
980	EPI-ISL-11817068_Australia_2021	B.D.3.2.1	EPI-ISL-11817068
981	EPI-ISL-11817058_Australia_2021	B.D.3.2.1	EPI-ISL-11817058
982	EPI-ISL-11817081_Australia_2021	B.D.3.2.1	EPI-ISL-11817081
983	EPI-ISL-15774028_Australia_2021	B.D.3.2.1	EPI-ISL-15774028
984	EPI-ISL-11817122_Australia_2020	B.D.3.2.1	EPI-ISL-11817122
985	EPI-ISL-11817035_Australia_2021	B.D.3.2.1	EPI-ISL-11817035
986	EPI-ISL-11817077_Australia_2021	B.D.3.2.1	EPI-ISL-11817077
987	EPI-ISL-11817079_Australia_2021	B.D.3.2.1	EPI-ISL-11817079
988	EPI-ISL-11817044_Australia_2021	B.D.3.2.1	EPI-ISL-11817044
989	EPI-ISL-11817040_Australia_2021	B.D.3.2.1	EPI-ISL-11817040
990	EPI-ISL-15774019_Australia_2021	B.D.3.2.1	EPI-ISL-15774019
991	EPI-ISL-11817133_Australia_2021	B.D.3.2.1	EPI-ISL-11817133
992	EPI-ISL-11817034_Australia_2021	B.D.3.2.1	EPI-ISL-11817034
993	EPI-ISL-15774069_Australia_2021	B.D.3.2.1	EPI-ISL-15774069
994	EPI-ISL-15774044_Australia_2021	B.D.3.2.1	EPI-ISL-15774044
995	EPI-ISL-11817073_Australia_2021	B.D.3.2.1	EPI-ISL-11817073
996	EPI-ISL-15774055_Australia_2021	B.D.3.2.1	EPI-ISL-15774055
997	EPI-ISL-15773988_Australia_2021	B.D.3.2.1	EPI-ISL-15773988
998	EPI-ISL-11817123_Australia_2020	B.D.3.2.1	EPI-ISL-11817123
999	EPI-ISL-11055783_South-Africa_2022	B.D.3.2.1	EPI-ISL-11055783
1000	EPI-ISL-14769860_South-Africa_2022	B.D.3.2.1	EPI-ISL-14769860
1001	EPI-ISL-15728620_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728620
1002	EPI-ISL-16672806_England_2022	B.D.3.2.1	EPI-ISL-16672806
1003	EPI-ISL-12529654_South-Africa_2021	B.D.3.2.1	EPI-ISL-12529654
1004	EPI-ISL-11055795_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055795
1005	EPI-ISL-11055801_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055801
1006	MZ515653_United-Kingdom_2018	B.D.3.2.1	MZ515653
1007	MZ516105_United-Kingdom_2019	B.D.3.2.1	MZ516105
1008	MZ515751_United-Kingdom_2018	B.D.3.2.1	MZ515751
1009	EPI-ISL-17066806_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066806
1010	EPI-ISL-17066829_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066829
1011	EPI-ISL-15896210_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896210
1012	EPI-ISL-17066810_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066810
1013	EPI-ISL-16714788_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714788
1014	EPI-ISL-15896264_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896264
1015	EPI-ISL-15896238_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896238
1016	EPI-ISL-16714759_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714759
1017	EPI-ISL-15896204_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896204
1018	EPI-ISL-17066801_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066801
1019	EPI-ISL-17066783_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066783
1020	EPI-ISL-15896299_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896299
1021	EPI-ISL-15896271_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896271
1022	EPI-ISL-17066809_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066809
1023	EPI-ISL-15896255_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896255
1024	EPI-ISL-15896286_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896286
1025	EPI-ISL-16714784_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714784
1026	EPI-ISL-15896232_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896232
1027	EPI-ISL-15896265_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896265
1028	EPI-ISL-15896263_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896263
1029	EPI-ISL-15896242_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896242
1030	EPI-ISL-15896209_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896209
1031	EPI-ISL-15896269_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896269
1032	EPI-ISL-15896140_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896140
1033	EPI-ISL-16714753_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714753
1034	EPI-ISL-15896245_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896245
1035	EPI-ISL-15896276_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896276
1036	EPI-ISL-15896205_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896205
1037	EPI-ISL-15896157_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896157
1038	EPI-ISL-16714783_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714783
1039	EPI-ISL-17066803_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066803
1040	EPI-ISL-15896239_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896239
1041	EPI-ISL-15896206_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896206
1042	EPI-ISL-15896262_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896262
1043	EPI-ISL-15896270_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896270
1044	EPI-ISL-17066812_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066812
1045	EPI-ISL-17066786_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066786
1046	EPI-ISL-15896268_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896268
1047	EPI-ISL-15896216_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896216
1048	EPI-ISL-16714798_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714798
1049	EPI-ISL-15896240_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896240
1050	EPI-ISL-15896163_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896163
1051	EPI-ISL-15896190_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896190
1052	EPI-ISL-17066798_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066798
1053	EPI-ISL-15896173_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896173
1054	EPI-ISL-15896153_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896153
1055	EPI-ISL-15896147_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896147
1056	EPI-ISL-15896233_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896233
1057	EPI-ISL-17066791_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066791
1058	EPI-ISL-17066815_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066815
1059	EPI-ISL-16714793_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714793
1060	EPI-ISL-15896235_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896235
1061	EPI-ISL-17066799_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066799
1062	EPI-ISL-15896267_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896267
1063	EPI-ISL-15896208_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896208
1064	EPI-ISL-15896185_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896185
1065	EPI-ISL-16714768_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714768
1066	EPI-ISL-17066805_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066805
1067	EPI-ISL-17066808_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066808
1068	EPI-ISL-17066787_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066787
1069	EPI-ISL-17066816_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066816
1070	EPI-ISL-17066818_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066818
1071	EPI-ISL-15896290_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896290
1072	EPI-ISL-15896256_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896256
1073	EPI-ISL-16714777_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714777
1074	EPI-ISL-15896282_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896282
1075	EPI-ISL-15896251_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896251
1076	EPI-ISL-16714772_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714772
1077	EPI-ISL-15896278_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896278
1078	EPI-ISL-15896248_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896248
1079	EPI-ISL-16714796_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714796
1080	EPI-ISL-15896289_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896289
1081	EPI-ISL-15896298_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896298
1082	EPI-ISL-15896272_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896272
1083	EPI-ISL-17066794_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066794
1084	EPI-ISL-15896291_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896291
1085	EPI-ISL-16714761_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714761
1086	EPI-ISL-15896285_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896285
1087	EPI-ISL-16714785_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714785
1088	EPI-ISL-16714792_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714792
1089	EPI-ISL-17066826_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066826
1090	EPI-ISL-15896292_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896292
1091	EPI-ISL-15896217_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896217
1092	EPI-ISL-16714782_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714782
1093	EPI-ISL-15896277_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896277
1094	EPI-ISL-15896221_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896221
1095	EPI-ISL-15896196_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896196
1096	EPI-ISL-15896197_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896197
1097	EPI-ISL-15896275_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896275
1098	EPI-ISL-15896214_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896214
1099	EPI-ISL-16714751_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714751
1100	EPI-ISL-15896215_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896215
1101	EPI-ISL-15896273_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896273
1102	EPI-ISL-15896293_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896293
1103	EPI-ISL-15896296_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896296
1104	EPI-ISL-15896297_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896297
1105	EPI-ISL-15896241_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896241
1106	EPI-ISL-15896201_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896201
1107	EPI-ISL-16714794_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714794
1108	EPI-ISL-15896244_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896244
1109	EPI-ISL-16714756_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714756
1110	EPI-ISL-16714787_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714787
1111	EPI-ISL-15896243_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896243
1112	EPI-ISL-15896212_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896212
1113	EPI-ISL-16714752_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714752
1114	EPI-ISL-16714755_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714755
1115	EPI-ISL-15896165_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896165
1116	EPI-ISL-15896237_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896237
1117	EPI-ISL-15896180_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896180
1118	EPI-ISL-15896247_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896247
1119	EPI-ISL-15896184_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896184
1120	EPI-ISL-16714801_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714801
1121	EPI-ISL-15896219_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896219
1122	EPI-ISL-15896300_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896300
1123	EPI-ISL-15896246_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896246
1124	EPI-ISL-15896228_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896228
1125	EPI-ISL-15896142_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896142
1126	EPI-ISL-15896154_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896154
1127	EPI-ISL-15896266_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896266
1128	EPI-ISL-16714750_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714750
1129	EPI-ISL-15896225_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896225
1130	EPI-ISL-17066823_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066823
1131	EPI-ISL-16959675_New-Zealand_2021	B.D.3.2.1.4	EPI-ISL-16959675
1132	EPI-ISL-15896254_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896254
1133	EPI-ISL-16714813_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714813
1134	EPI-ISL-15896283_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896283
1135	EPI-ISL-16714812_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714812
1136	EPI-ISL-17066785_Australia_2022	B.D.3.2.1.4	EPI-ISL-17066785
1137	EPI-ISL-16714802_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714802
1138	EPI-ISL-15896227_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896227
1139	EPI-ISL-16714804_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714804
1140	EPI-ISL-16714764_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714764
1141	EPI-ISL-16714765_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714765
1142	EPI-ISL-15896260_Australia_2022	B.D.3.2.1.4	EPI-ISL-15896260
1143	EPI-ISL-16714757_Australia_2022	B.D.3.2.1.4	EPI-ISL-16714757
